Brand,Cultivator,Product,Format,Total Price,THC,CBD,Irradiation,Group,C.O.O,Terpenes,Pack,Stock,MedBud,Discounted,New
4C Labs,Greentone,Skullcap (SMALLS),Flower,£55.00,25%,<1%,Beta,Hybrid,Canada,"Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/value-skl-smalls-t25-skull-cap/,,,
4C Labs,Greenway,Sun County Kush,Flower,£62.50,28%,<1%,Beta,Sativa Hybrid,Canada,"Alpha-Pinene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/sco-t28-sun-county-kush/,,,
4C Labs,Sundial,Ultra Sour,Flower,£65.00,22%,<1%,Beta,Hybrid,Canada,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/uls-t21-ultra-sour/,,,
4C Labs,Sundial,Wedding Cake Crasher,Flower,£62.50,26%,<1%,Beta,Indica Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/core-wdc-t26-wedding-cake-crash/,,,
4C Labs,Verte West,White Haze,Flower,£82.50,29%,<1%,Beta,Sativa Hybrid,Canada,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/craft-select-whz-t29-white-haze/,,,
4C Labs,Krft,Zero Gravity,Flower,£85.00,21%,<1%,Beta,Hybrid,Canada,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/t20-zero-gravity/,,,
4C Labs,Auxly,Zkittlez Fuel,Flower,£62.50,26%,<1%,Beta,Hybrid,Canada,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/core-zfk-t26-zkittlez-fuel/,,,

4TP,,Animal Face Cookies,Flower,£70.00,25%,<1%,Non-Irradiated,Hybrid,Unknown,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/4tp/afc-t25-animal-face-cookies/,,,
4TP,,Tin Roof,Flower,£75.00,22%,<1%,Non-Irradiated,Hybrid,Unknown,"Not Listed",10 Grams,In Stock,https://medbud.wiki/strains/4tp/tr-t22-tin-roof/,,,

AAAA,,Apples & Bananas,Flower,£65.00,27%,<1%,Non-Irradiated,Indica Hybrid,Canada,"Alpha-Pinene, Caryophyllene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/lot420/ab-t26-apples-and-bananas/,,,
AAAA,,Apricot & Cream Cheese,Flower,£85.00,11%,16%,Non-Irradiated,Balanced,Canada,"Alpha-Pinene, Beta-Pinene, Bisabolol, Humulene",10 Grams,In Stock,https://medbud.wiki/strains/lot420/acc-t11c16-apricot-cream-cheese/,,,
AAAA,,Fruitloops & Fuel,Flower,£85.00,29%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Farnesene, Caryophyllene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/lot420/flf-t29-fruitloops-fuel/,,,
AAAA,,Garlic Zkittlez,Flower,£85.00,28%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Myrcene, Ocimene",10 Grams,Out of Stock,https://medbud.wiki/strains/lot420/gz-garlic-zkittlez/,,,
AAAA,,Gelato #33,Flower,£85.00,26%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Humulene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/lot420/glt-t26-gelato-33/,,,
AAAA,,Gelato #33,Flower,£75.00,23%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Humulene, Limonene, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/lot420/glt-t26-gelato-33/,,,
AAAA,,Gelato Orange Cake,Flower,£100.00,26%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Pinene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/lot420/gloc-t28-gelato-orange-cake/,,,
AAAA,,High Society,Flower,£80.00,29%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/lot420/hs-t29-high-society/,,,
AAAA,,Lemon Cherry Gelato,Flower,£65.00,19%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/lot420/lcg-lemon-cherry-gelato/,,,
AAAA,,Orange Cake,Flower,£100.00,27%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Pinene, Beta-Pinene, Caryophyllene, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/lot420/oc-t27-orange-cake/,,,
AAAA,,Ripped Off Runtz,Flower,£85.00,25%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/lot420/ror-t28-ripped-off-runtz/,,,

All Nations,,Grey Goose,Flower,£70.00,27%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Humulene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/all-nations/gg-t27-grey-goose/,,,
All Nations,,Lemon Gelato,Flower,£60.00,25%,<1%,Beta,Hybrid,Canada,"Alpha-Pinene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/all-nations/lg-t25/,,,
All Nations,,MAC Daddy,Flower,£55.00,22%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Farnesene, Humulene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/all-nations/t28/,,,
All Nations,,MAC Doughnut,Flower,£55.00,27%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/all-nations/t27-mac-doughnut/,,,
All Nations,,Pineapple Express,Flower,£75.00,27%,<1%,Beta,Sativa Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/all-nations/pne-t27-pineapple-express/,,,
All Nations,,Tropic Thunder,Flower,£70.00,28%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Humulene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/all-nations/tt-t28-tropical-thunder/,,,

ANTG,,El Jefe,Flower,£75.00,26%,<1%,Gamma,Hybrid,Australia,"Caryophyllene, Humulene, Limonene, Linalool, Myrcene",10 Grams,Low Stock,https://medbud.wiki/strains/australian-natural-therapeutics-group/t26-rocky/,,,
ANTG,,Libras,Flower,£75.00,10%,11%,Gamma,Balanced,Australia,"Caryophyllene, Humulene, Limonene, Linalool, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/australian-natural-therapeutics-group/juno-t10c11-libras/,,,
ANTG,,Tangie Chem,Flower,£85.00,23%,<1%,Gamma,Hybrid,Australia,"Caryophyllene, Humulene, Limonene, Linalool, Myrcene",10 Grams,In of Stock,https://medbud.wiki/strains/australian-natural-therapeutics-group/solace-t23-tangie-chem/,,,

Aurora® Pedanios,,Black Jelly,Flower,£85.00,27%,<1%,Beta,Sativa Hybrid,Canada,"Beta-Pinene, Caryophyllene, Humulene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/aurora-pedanios/pedanios-t27-black-jelly/,,,
Aurora® Pedanios,,Cosmic Cream,Flower,£85.00,31%,<1%,Beta,Indica Hybrid,Canada,"Caryophyllene, Humulene, Limonene, Linalool, Myrcene, Nerolidol",10 Grams,Out of Stock,https://medbud.wiki/strains/aurora-pedanios/t31-cosmic-cream/,,,
Aurora® Pedanios,,Farm Gas,Flower,£85.00,27%,<1%,Beta,Indica Hybrid,Canada,"Caryophyllene, Humulene, Limonene, Nerolidol",10 Grams,Out of Stock,https://medbud.wiki/strains/aurora-pedanios/pedanios-t27/,,,
Aurora® Pedanios,,Frozen Lemon Haze,Flower,£85.00,25%,<1%,Beta,Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene, Ocimene, Terpinolene",10 Grams,Out of Stock,https://medbud.wiki/strains/aurora-pedanios/pedanios-flh-t25-frosted-lemon-haze/,,,
Aurora® Pedanios,,Sourdough,Flower,£85.00,29%,<1%,Beta,Indica Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/aurora-pedanios/pedanios-t29/,,,

Avaay,,Khalifa Mints,Flower,£79.00,28%,<1%,Irradiation Unknown,Hybrid,Unknown,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/avaay-medical/t28-kk-mints/,,,

BC Green,,Apples & Gas,Flower,£65.00,27%,<1%,Non-Irradiated,Indica Hybrid,Canada,"Caryophyllene, Humulene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/bc-green/ag-t27-apples-and-gas/,,,
BC Green,,Cappucino,Flower,£65.00,30%,<1%,Non-Irradiated,Sativa Hybrid,Canada,"Caryophyllene, Limonene, Myrcene, Ocimene",10 Grams,Out of Stock,https://medbud.wiki/strains/bc-green/t29/,,,
BC Green,,Heavy Gas Hitter,Flower,£65.00,30%,<1%,Non-Irradiated, Hybrid,Canada,"Alpha-Pinene, Beta-Pinene, Camphene, Caryophyllene, Humulene, Limonene, Linalool, Myrcene, Terpinolene",10 Grams,In Stock,https://medbud.wiki/strains/bc-green/t32-hgh/,,,
BC Green,,Scotti's Cake,Flower,£50.00,28%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/bc-green/sck-t26/,,,
BC Green,,Unicorn Cake,Flower,£60.00,22%,<1%,Non-Irradiated,Indica Hybrid,Canada,"Caryophyllene, Humulene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/bc-green/uc-t22-unicorn-cake/,,,

Big Narstie,,Ammy,Flower,£49.50,23%,<1%,Non-Irradiated,Hybrid,Unknown,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/big-narstie-medical/am-t23-ammy/,,,
Big Narstie,,Candyland,Flower,£49.50,20%,<1%,Non-Irradiated,Hybrid,Unknown,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/big-narstie-medical/t20-candy-land/,,,
Big Narstie,Northern Leaf,Carbon Fibre (SMALLS),Flower,£59.50,25%,<1%,Non-Irradiated,Hybrid,Jersey,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/big-narstie-medical/cf-t25/,,,
Big Narstie,,Gelatti,Flower,£49.50,21%,<1%,Non-Irradiated,Hybrid,Unknown,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/big-narstie-medical/t21-gelatti/,,,
Big Narstie,Northern Leaf,Gorilla Kush,Flower,£49.95,28%,<1%,Non-Irradiated,Hybrid,Jersey,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/big-narstie-medical/gk-t30-gorilla-kush/,,,
Big Narstie,,Gushers,Flower,£49.50,22%,<1%,Non-Irradiated,Hybrid,Unknown,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/big-narstie-medical/t22-gushers/,,,
Big Narstie,,Jack Kush,Flower,£40.00,30%,<1%,Non-Irradiated,Hybrid,Unknown,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/big-narstie-medical/jk-t27-jack-kush/,,,
Big Narstie,Ahara,Mule Fuel,Flower,£59.50,28%,<1%,Beta,Indica Hybrid,Portugal,"Alpha-Pinene, Beta-Pinene, Bisabolol, Caryophyllene, Fenchol, Humulene, Limonene, Myrcene, Nerolidol, Phytol, Terpineol",10 Grams,Out of Stock,https://medbud.wiki/strains/big-narstie-medical/mf-t28-mule-fuel/,,,
Big Narstie,,Papaya Bantz,Flower,£69.50,25%,<1%,Non-Irradiated,Indica Hybrid,Jersey,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/big-narstie-medical/pb-t26-papaya-bantz/,,,
Big Narstie,Northern Leaf,Pink Gasoline,Flower,£59.50,25%,<1%,Non-Irradiated,Sativa Hybrid,Jersey,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/big-narstie-medical/pg-t22-pink-gasoline/,,,
Big Narstie,,Rainbow Sherbet,Flower,£49.50,23%,<1%,Non-Irradiated,Hybrid,Unknown,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/big-narstie-medical/t23-rainbow-sherbet/,,,

Black Kettle Farms,,Gushers,Flower,£65.00,21%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Humulene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/black-kettle-farms/gush-t25-gushers/,,,

Broken Coast,Tilray,Amnesia Haze,Flower,£35.00,25%,<1%,Gamma,Sativa Hybrid,Unknown,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/broken-coast/ah-t28-amnesia-haze/,,,
Broken Coast,Tilray,Cherry Cheesecake,Flower,£55.00,27%,<1%,Gamma,Indica Hybrid,Unknown,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/broken-coast/ccc-t24-cherry-cheese-cake/,,,
Broken Coast,Tilray,Emergen-C,Flower,£49.50,27%,<1%,Gamma,Hybrid,Unknown,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/broken-coast/ec-t28-emergen-c/,,,
Broken Coast,Tilray,OG Kush Breath,Flower,£44.50,28%,<1%,Gamma,Hybrid,Unknown,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/good-supply-reserve/ogkb-t28-og-kush-breath/,,,
Broken Coast,Tilray,Pave #34,Flower,£50.00,26%,<1%,Gamma,Hybrid,Unknown,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/broken-coast/pv-t30-pave-34/,,,

Cali-X,,Biscotti,Flower,£80.00,26%,<1%,Beta,Hybrid,Unknown,"Caryophyllene, Humulene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/cali-x/biscof-t24-biscotti/,,,
Cali-X,,Gelato #41,Flower,£60.00,22%,<1%,Beta,Hybrid,Unknown,"Caryophyllene, Humulene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/cali-x/glt41-t22-gelato-41/,,,
Cali-X,,Zkittlez,Flower,£80.00,24%,<1%,Beta,Hybrid,Unknown,"Caryophyllene, Humulene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/cali-x/xkittlez-t26-zkittlez/,,,

Canada Craft,Apigen,Dante's Inferno,Flower,£70.00,28%,<1%,Beta,Hybrid,Canada,"Alpha-Farnesene, Alpha-Pinene, Beta-Pinene, Bisabolol, Caryophyllene, Humulene, Limonene, Myrcene, Terpineol",10 Grams,Out of Stock,https://medbud.wiki/strains/cannada-craft/di-t28-dantes-inferno/,,,

CannFX,,Dream Diablo,Flower,£80.00,27%,<1%,Non-Irradiated,Hybrid,New Zealand,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/cannfx/dd-t27-dream-diablo/,,,
CannFX,,Exotic Gas #007,Flower,£80.00,27%,<1%,Non-Irradiated,Hybrid,New Zealand,"Alpha-Pinene, Caryophyllene, Limonene, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/cannfx/exg-t27-exotic-gas-007/,,,
CannFX,,Glueberry,Flower,£80.00,24%,<1%,Non-Irradiated,Hybrid,New Zealand,"Alpha-Pinene, Caryophyllene, Limonene, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/cannfx/glu-t24-glueberry/,,,
CannFX,,Mochi Gelato,Flower,£80.00,28%,<1%,Non-Irradiated,Hybrid,New Zealand,"Caryophyllene, Humulene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/cannfx/t28-mochi-gelato/,,,
CannFX,,Permanent Marker,Flower,£85.00,28%,<1%,Non-Irradiated,Hybrid,New Zealand,"Alpha-Pinene, Beta-Pinene, Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/cannfx/pm-t28-permanent-marker/,,,
CannFX,,Rainbow Pie,Flower,£85.00,27%,<1%,Non-Irradiated,Hybrid,New Zealand,"Alpha-Pinene, Caryophyllene, Humulene, Linalool",10 Grams,Out of Stock,https://medbud.wiki/strains/cannfx/rp-t27-rainbow-pie/,,,
CannFX,,Zangria,Flower,£80.00,32%,<1%,Non-Irradiated,Hybrid,New Zealand,"Caryophyllene, Humulene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/cannfx/za-t32-zangria/,,,

